@relation 'AT: Sample1 (1)-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R24-weka.filters.unsupervised.attribute.Standardize_principal components'

@attribute '-0.379Residents-0.349M1 Qualification-0.311Father Qualification-0.304Xmarks+0.288Year Gap...' numeric
@attribute '-0.483Xboard+0.347Residence-0.3College Liking-0.269XIIMarks-0.267Xmarks...' numeric
@attribute '0.514Travel Duration+0.317Family Business+0.315Father Qualification-0.278Travel Way-0.262Region...' numeric
@attribute '-0.385XIIGrade-0.336Co-Curricular+0.336XIIMarks+0.303Fianancial Crisis+0.287Post Graduation...' numeric
@attribute '0.475Post Graduation+0.409Programming Experience-0.348Branch+0.348Health-0.311Fianancial Crisis...' numeric
@attribute '-0.566Sibling to look-0.345Programming Experience+0.311Co-Curricular+0.304Post Graduation-0.25Computer Access...' numeric
@attribute '0.52 Fianancial Crisis-0.424Branch-0.377College Liking+0.328XIIGrade+0.248Region...' numeric
@attribute '0.523Gender+0.43 Co-Curricular+0.423Programming Experience-0.365Travel Way-0.285Health...' numeric
@attribute '-0.393Year Gap+0.327Computer Access-0.319Programming Experience-0.286Xboard-0.285Gender...' numeric
@attribute '-0.367Gender+0.35 Co-Curricular+0.347Xboard-0.292Region+0.267Fianancial Crisis...' numeric
@attribute '0.513Branch+0.406Health-0.343Travel Way+0.31 Region-0.29XIIMarks...' numeric
@attribute '-0.389Computer Access-0.388Post Graduation+0.375Programming Experience-0.329Year Gap-0.303Sibling to look...' numeric
@attribute Grades {AVG,GOOD,BAVG,VRYGOOD,EXCL}

@data
-0.663077,0.484176,-0.081958,-0.141766,-0.471433,-0.169349,1.515509,0.285942,-2.228199,-0.2246,-0.598453,0.480658,AVG
-0.979511,1.37659,0.693471,0.088251,1.737804,-1.057125,1.548746,-0.397778,0.014854,-1.15467,0.03169,0.14491,GOOD
-1.043523,0.457274,0.336004,0.997661,1.261389,-0.107404,0.780875,0.223308,-0.142081,0.329549,0.479108,0.512259,AVG
-0.461912,2.310535,0.860629,0.007671,-0.067192,1.61506,1.096042,1.601461,2.437604,-0.217632,0.434539,0.223182,GOOD
-0.838424,-0.485689,-0.426538,0.080468,0.192259,-0.409511,0.651737,0.334446,-0.935228,1.027025,-0.281395,0.449263,GOOD
-1.444394,0.664582,0.94505,0.127115,0.078704,-0.409361,-0.167558,-1.302105,0.214492,-0.538345,0.270281,-1.036987,AVG
6.929264,1.482432,1.647409,0.228917,-1.230828,1.366672,-0.118566,-1.318593,-2.616808,1.549906,2.508718,-0.114274,EXCL
-1.504359,-1.152728,-0.719557,-0.641168,-0.807535,-1.118312,0.879548,1.787598,-0.235502,0.3148,-0.990101,-0.02691,GOOD
-1.067674,2.465322,-0.362104,-0.159475,0.461136,-0.483667,1.033045,-0.246342,-0.156035,-0.787913,-0.071518,1.475361,VRYGOOD
-1.043857,-0.318283,0.287852,-0.394691,-2.267116,0.516873,-0.267847,0.937534,-0.972868,0.154444,-1.074605,-1.150169,AVG
-0.76986,-0.070919,0.048394,0.743986,0.580495,-0.841185,0.997954,-0.333871,-0.329833,0.28212,0.555548,1.468053,GOOD
1.151166,-0.038324,-0.703399,-0.943269,1.255788,0.762508,-0.328648,-1.675157,-1.575496,-1.420167,-0.648188,0.870934,AVG
-0.497495,0.660506,-0.105483,-0.668839,-2.142431,2.083947,0.468183,-0.270574,1.441415,0.105285,-2.067333,0.427327,EXCL
-0.129872,0.262842,1.389019,0.110418,0.541241,0.802106,0.710424,1.337355,1.364829,2.127314,-2.68992,0.970993,GOOD
-1.094268,1.137756,0.538489,-0.614846,0.003459,-0.627148,-0.349363,-1.236512,0.677692,-0.043555,-0.136967,-1.051568,AVG
-1.370802,-0.054495,0.92199,0.400264,0.204704,-0.242479,0.837694,-1.000236,0.182775,0.095387,0.629743,-1.041279,AVG
-1.621455,0.290808,-0.209941,1.099493,0.923078,0.2934,0.490193,-0.837563,-1.22206,0.245671,-0.292335,0.382322,AVG
-1.285307,-0.609036,0.593239,-0.129068,0.807619,-0.554551,-0.208007,1.503066,-0.922188,-0.864148,-0.211161,-0.593557,GOOD
-1.054891,2.350365,1.877081,-0.564899,0.049575,0.100635,0.708958,-0.642295,0.463057,-1.001111,-0.002377,-0.827408,AVG
-0.795269,0.823957,-0.227414,-0.590042,0.767008,0.804886,-0.726032,0.965662,1.099976,0.235788,-1.478916,2.323674,VRYGOOD
0.259912,0.651248,-0.176279,0.466958,0.067496,0.029849,0.951904,-0.92267,-1.107261,-0.636629,-1.708528,-0.862749,BAVG
2.46157,-0.70698,2.789613,1.100744,0.368632,0.911371,-0.878274,-0.099402,1.86551,-0.292676,-1.396876,-0.154168,BAVG
-1.875485,0.031889,0.420176,0.959405,0.227543,-0.632957,0.693997,-0.571538,-0.932535,0.144767,0.289715,1.320998,GOOD
-1.097677,1.625026,1.248189,-0.35839,0.966203,-0.820081,1.181969,-0.554828,-0.791589,0.183807,0.028127,-0.258556,AVG
-1.440158,2.628523,1.177843,-0.510144,-0.48302,1.20662,0.5843,-1.065063,-0.270468,0.659281,-0.599041,-0.2997,AVG
-0.70792,-0.712719,1.43531,0.001551,-1.505832,-1.14538,0.339776,0.240416,-0.137254,-1.10406,0.292199,-0.808668,AVG
-0.500312,-0.990433,-1.221109,0.189434,1.820148,-1.55811,0.918734,-1.429914,0.512952,-0.373203,-1.652692,0.639992,GOOD
2.026321,0.02143,-0.484988,0.27075,0.137791,-1.380978,-0.11298,-2.148249,1.048307,-0.28303,-1.803879,-0.338753,AVG
-1.927739,-0.605787,-1.173813,0.603044,0.887389,0.017347,0.26886,0.991144,-1.318353,-0.338353,-0.66874,0.057464,AVG
-1.153132,2.251373,1.12466,-0.140359,-0.40717,-0.649983,0.723878,0.272056,-1.013792,0.305474,-0.665967,0.807946,AVG
-0.675374,1.425531,-0.098148,-0.017708,0.322017,0.21324,1.465218,-1.338373,0.752553,-1.145833,-0.107067,-0.812268,AVG
-2.066467,-0.55502,-0.138961,-1.10071,-0.587524,-1.096173,-0.729636,0.892025,-0.607016,-0.971445,-1.803958,0.147279,BAVG
1.112627,0.373831,0.227286,1.36311,-0.984638,-0.447545,1.038038,0.884844,-1.557831,-0.497838,-1.277227,-0.229896,GOOD
2.817529,3.089729,0.629308,1.501278,1.609137,-1.77268,-2.156748,-0.934287,1.79874,-0.328238,-1.524817,-0.548387,AVG
-1.071767,-0.169517,0.029729,0.222456,1.537906,-1.047465,-0.636558,-0.705487,-0.913112,-0.65253,-0.343293,-0.524537,AVG
-1.855415,-0.662154,0.342376,0.058565,1.043491,1.875334,-0.643465,0.154534,0.061598,-0.054436,1.147889,-0.703315,GOOD
-0.907736,2.301705,0.373622,-0.145943,0.587638,-0.360086,1.62602,2.964838,0.300244,-1.548114,0.559814,-0.275683,GOOD
-0.169649,-0.593508,-0.842081,-0.397429,1.058787,0.014808,-0.228602,2.17501,0.368363,-1.590342,0.040422,-0.667147,VRYGOOD
-1.816976,-0.113124,0.504124,-0.768133,1.443906,-0.825983,-0.169936,0.099019,-0.729264,0.403496,0.304916,-1.004255,GOOD
0.306577,-0.556626,2.143071,1.315544,-0.657532,1.187289,1.093717,-0.143706,-0.404271,0.882177,0.630034,-1.431393,AVG
-0.760522,0.21571,0.389268,-0.464682,1.195937,0.355972,0.18077,-1.754786,0.283748,-1.411286,-0.065017,-0.580699,VRYGOOD
-0.654969,0.340994,-1.502493,-0.970998,1.813925,-1.08031,0.744978,0.230387,1.120729,0.152196,-0.602685,-0.008311,GOOD
-2.01345,0.682499,0.965343,-0.128085,1.40288,0.491029,-0.980826,0.146939,-0.76552,0.087534,-0.166498,0.41421,GOOD
-1.01096,-0.053333,0.39157,-1.182925,0.915046,1.694684,-1.408359,-0.0082,0.311088,0.280309,-0.132492,-0.450872,AVG
-1.424851,-0.042117,1.117201,-0.586153,0.837858,-0.809483,-1.245832,1.260084,-1.157941,-1.367704,-0.510629,-0.660781,AVG
-1.640472,0.923929,-0.141928,0.210307,1.484293,0.850585,-0.655964,0.222415,-0.207946,-0.873491,-0.31991,0.515318,GOOD
-1.415739,-0.39824,0.872357,-0.459262,1.279532,-0.133076,-1.35424,-1.822631,-0.189736,-1.57587,-0.00313,-0.841276,GOOD
-0.311848,-0.655218,0.254788,0.3518,0.790576,-0.610269,-0.61791,1.171412,-0.205043,-1.967403,-0.047529,-0.536651,VRYGOOD
-0.051157,1.386648,0.655689,-2.784307,1.680477,0.040438,-0.504538,0.467027,-0.376861,0.900241,-0.107461,-0.643845,AVG
-0.761251,1.028759,0.087826,-1.957991,1.716262,1.024986,-0.924333,0.797673,-0.551834,1.108008,0.02461,-0.285923,GOOD
-0.865524,-0.846669,-0.749074,-1.021957,1.321479,1.84507,-1.12538,-0.946421,0.032968,-0.423064,-0.760532,-0.499332,GOOD
2.513839,-1.79408,1.611821,1.182806,2.091358,-1.244834,0.687799,-0.23864,1.430582,1.63723,-0.810686,1.170131,GOOD
2.930993,0.645055,3.438008,3.046463,1.848075,-0.922611,-0.691735,0.67437,1.006318,0.393664,-0.18846,0.086938,GOOD
2.542634,-1.343224,3.244804,1.20032,-0.323011,-0.642183,0.528682,-0.825684,1.004141,0.303823,-0.760843,0.35874,VRYGOOD
-0.546971,-0.642472,1.325119,-0.260884,1.207219,0.62546,-1.15041,-1.675148,-0.449046,-2.333314,-0.009347,-1.084177,GOOD
6.992106,2.41381,1.066705,-2.128354,-1.381163,1.245197,-1.994443,2.711834,-2.479816,1.162537,-1.681857,0.947687,VRYGOOD
-0.474592,-1.17175,1.012707,1.657697,-1.462873,0.635682,-0.085069,1.74575,1.097847,-0.784039,-0.380729,-2.08185,AVG
3.831575,2.301175,-1.146201,-3.397431,0.027376,-2.332889,1.073137,1.176879,-1.878043,0.946581,-0.616434,-1.34442,GOOD
-0.455057,-1.443802,-0.747778,0.109305,0.689741,1.723451,0.200423,1.914964,-0.610836,-0.598981,-1.016579,-0.116823,AVG
0.064993,-2.577122,0.755501,0.628345,0.797523,-0.033321,1.636683,1.262895,1.251783,1.057483,-0.004684,-0.40231,GOOD
-0.34694,-0.613691,-1.750352,-0.364718,0.596517,1.732207,-1.559683,-1.48593,-0.512393,-0.047786,0.943192,-0.147176,AVG
-0.637822,-0.788364,1.959224,0.74474,-0.431321,-0.383866,0.090791,-1.382503,-0.040182,-0.764738,-0.680449,-1.783996,VRYGOOD
-1.328202,-0.561258,1.100803,-0.403863,1.393896,0.264959,-0.684848,1.630323,1.154688,-0.854037,-0.165108,-0.132547,AVG
-1.402465,0.854991,-1.34581,-0.886213,1.871101,-1.025688,-1.270906,0.628255,0.6117,-0.516206,1.635029,0.401944,GOOD
-0.403687,-1.751355,1.287749,1.468719,0.863224,1.089564,1.104351,1.377819,0.418811,0.533163,0.557513,0.157606,VRYGOOD
-1.184226,-0.174223,-0.639362,0.94143,0.997889,0.661091,0.021668,0.968183,-0.876538,-1.666714,-0.691058,0.53999,GOOD
-1.914388,0.005281,0.449411,0.263067,-1.103378,0.489288,0.680669,-0.996383,0.02781,0.512186,-0.283434,0.326939,AVG
-1.698203,-0.453209,-1.239299,-0.805536,1.579584,1.16644,-0.666878,0.288559,-0.123783,0.672522,-1.089333,0.275465,GOOD
-1.090996,-0.958357,-0.510973,-0.33929,0.986403,-0.174951,-1.129796,0.750462,0.044249,0.542668,1.304052,0.036458,AVG
-0.854587,-2.225926,1.761587,0.874153,0.766305,2.335551,-0.21515,0.56455,0.428669,-0.329369,1.516534,-0.953498,GOOD
-1.581965,-0.736765,-1.654809,0.604696,1.175933,0.303037,-0.393739,0.199381,-1.210962,-1.283855,-1.242449,0.375605,AVG
-0.211295,-0.587312,0.491184,0.38807,-0.006207,2.083591,-1.295601,0.242588,-0.334541,0.817148,-0.595545,-2.006919,GOOD
-0.748425,-0.681932,0.235055,0.667032,0.498508,0.860872,0.731205,0.633881,-1.341242,1.312821,-0.15128,-0.949081,GOOD
-2.367888,-1.392314,-0.741603,-0.681458,0.979806,-0.106697,-0.697693,1.209196,-1.143304,-0.812288,-1.068282,-0.892291,VRYGOOD
-1.992613,-0.331538,-1.437434,-0.287364,0.687541,0.807372,-1.632667,0.191249,-0.532096,1.262398,0.198885,0.767317,VRYGOOD
0.966517,-1.375712,1.94033,-0.641092,-0.517342,1.261961,-0.363712,0.694006,0.082468,0.70007,0.977343,-0.68764,VRYGOOD
0.716433,2.026056,-0.771183,-0.840308,-0.459368,0.369487,-2.121456,1.356823,0.321364,-1.353004,1.452434,-1.820446,VRYGOOD
1.220475,1.855408,-0.39822,0.661436,-1.694843,0.806126,-0.878984,-0.304582,-2.184314,-1.018981,1.011271,-1.455519,AVG
-0.927241,0.146033,-1.075825,-1.151916,-1.200144,-0.758707,-1.331937,-1.491309,0.595363,-0.251079,0.762359,2.032047,VRYGOOD
-0.57118,-2.115301,0.462361,0.074406,1.141026,0.85958,-1.400843,0.036338,0.085423,1.629707,-1.953317,1.859667,GOOD
-1.486286,0.449568,0.518213,-0.757496,0.40765,1.801193,0.570842,0.522854,1.199866,-0.924437,-0.195768,-0.857336,GOOD
0.928735,0.812437,1.601356,0.775097,-0.459457,-0.348496,0.073262,-0.781716,0.347645,0.027843,-0.780872,-1.884609,VRYGOOD
2.097542,0.084072,0.404263,0.333135,0.503224,-0.153534,-1.714166,-0.923222,1.015255,0.273556,-0.034869,-0.163269,GOOD
-1.520945,0.466839,-1.250689,0.325151,-0.621295,1.312465,0.650342,0.718119,-0.140274,-0.258468,-0.240664,-0.858352,VRYGOOD
-1.170065,-0.598934,-0.229609,1.681217,1.659445,-0.318453,1.17275,-0.303696,-0.243775,0.26682,0.445661,0.911936,AVG
4.702728,4.037341,1.729821,-4.098498,-2.171629,-0.414625,0.440398,-0.72594,-0.991213,-0.157103,-0.559989,0.693879,GOOD
3.890734,-1.33454,3.667208,0.689582,-0.879235,2.484959,0.865315,-1.190038,-0.286411,0.824662,-0.691657,3.528962,GOOD
-1.930527,0.409132,1.114102,-0.558749,1.293544,-0.594505,-0.988961,0.067884,-0.111797,-0.423941,-0.342038,-0.153785,GOOD
-1.466111,-0.210478,0.778867,-1.884777,0.781778,0.498571,-1.61643,-0.238519,0.535539,0.05906,-0.305709,-1.254039,VRYGOOD
0.48953,0.038896,0.94497,0.180341,0.287722,1.55701,-0.390826,-0.624221,0.148505,-0.776295,-0.683847,-0.755137,VRYGOOD
-2.163848,-1.022676,0.970616,-0.283319,0.593031,1.012211,-0.78357,0.26858,0.763299,-0.582351,0.327103,-1.0542,GOOD
0.094785,-0.757878,1.301123,-0.547043,0.091518,-0.901139,1.320946,1.252862,0.799716,0.648538,0.97528,0.070955,BAVG
2.049548,-1.578804,0.027883,-0.739049,-0.232605,-1.037569,1.292836,2.217192,0.923495,-0.534135,-0.744286,0.54393,AVG
-1.348381,0.009229,-2.269948,0.730877,-1.577315,0.675801,-0.022947,-1.159997,0.868305,0.206609,0.731861,1.082842,GOOD
2.298515,3.23279,-1.219627,1.930414,-1.476729,1.38504,1.105378,1.264954,1.102529,-1.949127,-0.975274,-0.945123,AVG
1.343311,0.234145,-1.085257,0.677332,-1.782333,1.330386,2.561048,-0.875407,2.566929,0.247262,-0.838506,0.950211,BAVG
1.046072,-0.193148,-1.158405,0.224493,0.126374,0.352763,1.318332,0.328195,0.438697,0.828106,0.889896,0.972275,GOOD
-0.163868,-0.687016,-1.945814,0.354357,-2.750433,0.324882,0.266334,0.554471,1.268246,0.607933,0.17526,0.60554,VRYGOOD
2.792086,1.161764,0.051188,0.431238,1.240171,0.041633,0.632221,2.734172,0.042812,0.055078,0.870095,-0.201994,BAVG
2.972604,1.472058,1.40755,-0.059345,0.580632,0.786777,1.498131,1.88804,-1.158159,-2.922248,1.364339,2.630909,AVG
1.847214,-1.836133,0.523759,0.506027,-1.688786,-1.117416,0.923186,0.13892,0.108536,-0.703773,2.27834,-0.674575,AVG
1.370841,-0.526655,-2.419613,1.270266,0.385937,-1.489543,1.165587,-0.38445,0.061879,-2.090768,-1.860939,-0.320017,VRYGOOD
1.731004,-0.664509,-1.187348,-1.402635,-0.997103,1.747916,1.029255,-0.795338,-0.82553,-0.392723,-1.321048,3.045315,BAVG
0.897925,-0.852456,0.127958,-2.55262,1.558588,-0.567973,0.113203,0.644272,-0.430124,0.806594,1.348782,-0.568593,GOOD
1.628137,-1.173184,-1.075012,-1.825095,-0.561243,0.912853,-0.126747,-0.317551,2.551675,-0.539154,-1.367674,0.080317,BAVG
2.6315,-2.139765,0.394019,-2.123246,-0.035465,2.602484,0.412626,-0.964437,-0.945886,-0.918452,0.951237,1.894393,AVG
3.353985,-1.492301,-0.667305,-2.150446,-2.034892,1.739609,-0.893182,0.321972,-2.149036,-0.833867,1.083918,1.216067,AVG
2.296282,-0.588828,-1.266544,-1.837048,0.719325,0.207289,0.47463,-0.102873,2.355146,-0.914516,1.109124,-0.353559,AVG
3.107937,-1.670517,-0.639889,-1.683406,-2.095238,1.675591,-0.776284,-0.41878,-3.065663,-3.295817,-1.175954,-0.306875,VRYGOOD
1.642406,-2.496837,-3.085694,0.340062,-0.52314,0.458288,-1.434135,-0.216012,1.148771,-0.233606,-0.221069,1.547641,BAVG
2.201409,-2.041915,0.039721,-1.639597,0.069886,0.079891,-0.459197,0.531808,0.688942,-0.260289,-0.843984,-0.133702,AVG
3.015238,-2.341168,-2.350869,-0.487472,1.653425,0.073591,0.929604,1.585937,1.366776,-1.310086,0.242564,-0.87638,AVG
2.092232,-1.984205,-1.211559,-0.525421,-0.029,-1.534304,1.973669,1.197977,-0.563597,0.161309,-0.59224,-0.408349,AVG
0.577795,-0.692946,-1.564274,-1.295689,1.813148,1.744178,-0.507651,-1.45706,-0.105031,-0.161074,-0.154615,-0.504036,BAVG
3.459361,-1.637353,1.984467,-2.142406,0.701027,-0.107996,0.507152,-0.358461,-0.607402,-1.672972,1.434014,1.929004,VRYGOOD
2.975124,-1.594252,-2.173059,-1.017153,0.626375,0.531876,0.880622,1.753306,0.460561,-0.178061,0.933009,0.041327,GOOD
1.992344,-2.22062,2.043033,-0.642859,0.667838,1.633771,-0.146591,-1.511172,-0.976871,-2.82123,0.969385,0.949835,AVG
2.595577,-1.269229,-1.931939,-1.288615,0.685925,1.292363,0.536469,-0.727454,1.375155,0.360802,0.876667,0.326981,GOOD
1.826725,-0.963154,-2.791879,-1.160287,2.202559,-0.006047,0.11952,-0.811236,1.083152,-0.320266,-0.423743,-0.123191,GOOD
3.0422,-0.132601,-2.057538,1.710276,-0.611459,0.710039,-0.502438,2.006329,0.472668,1.613061,-0.841999,0.735618,GOOD
0.814935,-1.807603,-1.929399,-2.067893,0.466311,-0.209244,-0.477701,-1.125365,1.557292,0.11976,0.410264,-0.951125,GOOD
3.669719,-0.208486,1.239882,-0.338468,2.736581,-2.006314,0.503565,0.077842,1.01904,1.058711,1.271223,0.387226,VRYGOOD
1.881125,0.084686,-1.560313,2.859812,-1.306943,-0.772973,0.216898,-0.135064,-2.308445,-0.666243,-2.516598,-1.077142,VRYGOOD
3.164303,-0.328379,0.542188,-1.634078,2.260182,-0.452384,0.070186,1.001544,-0.104047,0.603215,1.333807,-1.190856,BAVG
-1.040812,-0.65653,-2.430707,-0.203167,-0.38847,0.839621,1.266382,-1.712492,0.567079,0.479353,-0.805718,0.556219,EXCL
-0.089344,3.416264,0.76278,0.708603,1.032393,0.007904,0.176754,1.135184,0.461316,-0.806001,1.136207,1.057364,GOOD
0.618587,-0.235293,-1.057166,-1.148808,1.150723,0.827187,1.181992,-1.069763,0.163678,1.785212,0.960296,-1.185044,GOOD
1.730644,-0.495249,-2.467471,4.399569,-0.766191,-0.518246,-0.844533,0.494098,-1.234882,-0.251169,0.16928,-0.796859,VRYGOOD
2.422391,-1.348741,-2.582435,2.598858,-0.874354,0.005009,-0.641811,0.162396,1.211753,-1.140988,-0.042177,-1.392211,VRYGOOD
6.21165,1.033461,-3.016302,1.203066,-1.185262,-3.243839,-0.318391,0.095237,-0.673322,0.706675,0.214564,-1.004348,VRYGOOD
5.003172,0.402929,0.102745,-0.960151,1.052825,-0.921614,0.026822,-0.732948,-0.186419,2.662723,-0.177203,-2.652829,AVG
0.143585,0.951419,-1.194776,1.157051,1.458304,0.676073,0.15627,-0.327433,-0.394582,1.836595,-0.78001,0.38631,GOOD
2.08239,0.316885,-2.508831,-0.102314,1.529158,-1.059633,1.248699,-1.626775,1.094907,-0.715517,-0.297912,-0.178661,VRYGOOD
0.459808,-0.661649,-0.524622,0.63573,-0.505149,-0.270878,1.039566,-1.396931,0.137041,0.698602,1.764025,1.24657,VRYGOOD
3.604682,1.913085,-2.186986,3.050811,0.47363,-0.825813,-0.665375,-0.563134,-0.940248,0.022892,-0.135668,-0.374029,GOOD
2.382178,-0.336332,-2.238136,-1.827164,0.572351,-0.738716,-1.015946,-1.517616,1.680042,0.659598,0.117033,-0.62933,VRYGOOD
-1.626838,-0.240489,0.59412,-0.309946,-1.294436,-1.607568,-1.088075,-1.621701,0.141346,-0.059509,0.792799,0.124234,VRYGOOD
-1.269993,1.416348,-1.806572,0.041243,-1.200712,1.490927,-0.128943,-0.471322,0.495464,1.556116,1.060047,-0.3382,GOOD
0.338006,-0.812805,0.235836,-1.842044,-1.11428,-0.64466,-2.377789,-0.479028,0.048638,0.533085,1.045983,-1.136959,VRYGOOD
0.16036,0.177042,0.679693,-0.683971,-0.111082,-1.982676,-1.987149,-0.140868,-0.387985,-0.781482,0.762949,0.367813,GOOD
